truetime,DMP:B,Gillespie:B
0,0,0
0.000260189,0.005193394,0
0.005,0.099800345,0.243610482
0.01,0.199202757,0.500593821
0.015,0.298209289,0.757577159
0.019716704,0.391234654,1
0.02,0.396821981,1
0.025,0.495042857,1
0.027723009,0.548321834,1
0.028043033,0.554583488,1
0.03,0.59287393,1
0.035,0.690317197,1
0.035207653,0.694348046,1
0.04,0.787374642,1
0.040099404,0.789296585,1
0.045,0.884048235,1
0.045556144,0.894758651,1
0.047388954,0.930055513,2
0.05,0.980339934,2
0.055,1.076251682,2
0.06,1.171785409,2
0.062545356,1.220227409,2
0.065,1.266943034,2.574833895
0.066815536,1.301359577,3
0.07,1.36172646,3
0.075,1.45613758,3
0.08,1.550178272,3
0.085,1.643850402,3
0.088775612,1.714307423,3
0.09,1.737155825,2.82476707
0.095,1.830096381,2.109172927
0.095762813,1.844220251,2
0.1,1.9226739,2
0.105,2.014890198,2
0.106071693,2.034578678,2
0.11,2.10674708,2
0.115,2.198246339,2
0.12,2.289389756,2
0.125,2.3801791,2
0.13,2.470616128,2
0.135,2.560702586,2
0.14,2.650440208,2
0.145,2.739830718,2
0.147128444,2.77773623,2
0.149426779,2.818667315,2
0.15,2.828875826,2
0.155,2.917577234,2
0.16,3.005936631,2
0.165,3.093955694,2
0.17,3.181636091,2
0.175,3.26897948,2
0.18,3.355987505,2
0.180911094,3.371781187,2
0.181855581,3.388153738,2
0.185,3.442661801,2.532107555
0.187764948,3.490408143,3
0.19,3.529003994,3
0.195,3.615015698,3
0.2,3.700698515,3
0.205,3.786054041,3
0.21,3.871083857,3
0.210222902,3.874860066,3
0.215,3.955789537,3
0.217276206,3.9942042,3
0.22,4.040172644,3
0.225,4.124234731,3
0.23,4.207977341,3
0.230137497,4.210271465,3
0.234646266,4.285499984,3
0.235,4.291402007,3
0.24,4.374510254,3
0.240414833,4.381379334,3
0.243387581,4.430604078,4
0.245,4.457303594,4
0.25,4.539783534,4
0.255,4.621951566,4
0.26,4.703809178,4
0.265,4.785357845,4
0.27,4.866599034,4
0.275,4.947534203,4
0.28,5.0281648,4
0.281222289,5.047801479,4
0.285,5.108492266,4.123529358
0.29,5.18851803,4.287026997
0.295,5.268243514,4.450524636
0.3,5.347670132,4.614022274
0.305,5.426799287,4.777519913
0.31,5.505632375,4.941017552
0.311803771,5.53396543,5
0.31190065,5.535487182,5
0.315,5.584170782,5
0.317174522,5.618199928,5
0.317817714,5.628265242,5
0.32,5.662415888,5.208667552
0.325,5.740369061,5.686761433
0.328275911,5.79125221,6
0.33,5.818031664,6
0.335,5.895405048,6
0.34,5.97249056,6
0.34301371,6.018780521,6
0.34308799,6.019921455,7
0.345,6.049289535,7
0.345088978,6.05065114,7
0.35,6.125803301,7
0.355,6.202033181,7
0.36,6.277980484,7
0.365,6.353646516,7
0.37,6.429032574,7
0.375,6.504139945,7
0.38,6.578969911,7
0.383083246,6.624943467,7
0.385,6.653523744,7.124729055
0.39,6.72780271,7.450094314
0.395,6.801808068,7.775459573
0.39845059,6.852692538,8
0.4,6.875541066,8
0.405,6.949002948,8
0.41,7.02219495,8
0.415,7.095118298,8
0.42,7.167774215,8
0.425,7.240163913,8
0.425913803,7.25334547,8
0.43,7.312288599,8.105315707
0.435,7.384149471,8.234183352
0.44,7.455747722,8.363050997
0.445,7.527084537,8.491918642
0.45,7.598161093,8.620786287
0.455,7.668978562,8.749653932
0.46,7.739538107,8.878521577
0.464713302,7.805809752,9
0.465,7.809840886,9.005325861
0.47,7.87988805,9.098208588
0.475,7.949680743,9.191091316
0.48,8.019220101,9.283974044
0.485,8.088507255,9.376856772
0.49,8.157543329,9.4697395
0.495,8.22632944,9.562622228
0.5,8.294866699,9.655504956
0.505,8.363156212,9.748387684
0.51,8.431199075,9.841270412
0.515,8.49899638,9.93415314
0.518544624,8.546886253,10
0.52,8.566549214,10.05437856
0.525,8.633858656,10.24119812
0.53,8.700925777,10.42801769
0.535,8.767751646,10.61483725
0.54,8.834337323,10.80165682
0.545,8.900683863,10.98847638
0.545308416,8.90476164,11
0.55,8.966792314,11
0.555,9.03266372,11
0.56,9.098299117,11
0.565,9.163699535,11
0.566373675,9.181603042,11
0.57,9.228866001,11
0.575,9.293799533,11
0.579226801,9.348495702,11
0.58,9.358501144,11
0.585,9.422971843,11
0.59,9.487212632,11
0.593023163,9.525916293,11
0.595,9.551224507,11.40360679
0.597921092,9.58848826,12
0.6,9.615008459,12.04556597
0.605,9.678565474,12.15515706
0.61,9.74189653,12.26474816
0.615,9.805002603,12.37433925
0.62,9.867884662,12.48393034
0.625,9.930543669,12.59352144
0.63,9.992980584,12.70311253
0.635,10.05519636,12.81270363
0.64,10.11719194,12.92229472
0.643545237,10.16099429,13
0.645,10.17896827,13
0.65,10.24052629,13
0.655,10.30186693,13
0.66,10.36299111,13
0.661649652,10.38308673,13
0.66214529,10.38912445,13
0.665,10.42389976,13
0.67,10.48459379,13
0.675,10.54507412,13
0.67911622,10.594689,13
0.68,10.60534165,13.02246821
0.685,10.66539729,13.14958244
0.69,10.72524192,13.27669667
0.695,10.78487645,13.4038109
0.7,10.84430175,13.53092512
0.705,10.90351872,13.65803935
0.71,10.96252822,13.78515358
0.715,11.02133114,13.91226781
0.71845092,11.06177398,14
0.72,11.07992833,14
0.725,11.13832067,14
0.73,11.19650901,14
0.735,11.2544942,14
0.74,11.3122771,14
0.745,11.36985855,14
0.75,11.42723938,14
0.755,11.48442044,14
0.76,11.54140256,14
0.765,11.59818655,14
0.768579755,11.63869986,14
0.77,11.65477326,14
0.775,11.71116348,14
0.78,11.76735805,14
0.785,11.82335776,14
0.79,11.87916342,14
0.795,11.93477583,14
0.8,11.99019579,14
0.804093989,12.03541661,14
0.805,12.0454241,14
0.81,12.10046153,14
0.815,12.15530887,14
0.82,12.20996691,14
0.825,12.26443642,14
0.83,12.31871817,14
0.835,12.37281293,14
