truetime,L,R,B,D,C
0.0050000000,99.0079411010,199.0079411010,0.9920588990,0.0000000000,0.0000000000
0.0100000000,98.0315322293,198.0315322293,1.9684677707,0.0000000000,0.0000000000
0.0150000000,97.0704326576,197.0704326576,2.9295673424,0.0000000000,0.0000000000
0.0200000000,96.1243114158,196.1243114158,3.8756885842,0.0000000000,0.0000000000
0.0250000000,95.1928469445,195.1928469445,4.8071530555,0.0000000000,0.0000000000
0.0300000000,94.2757267620,194.2757267620,5.7242732380,0.0000000000,0.0000000000
0.0350000000,93.3726471464,193.3726471464,6.6273528536,0.0000000000,0.0000000000
0.0400000000,92.4833128300,192.4833128300,7.5166871700,0.0000000000,0.0000000000
0.0450000000,91.6074367077,191.6074367077,8.3925632923,0.0000000000,0.0000000000
0.0500000000,90.7447395557,190.7447395557,9.2552604443,0.0000000000,0.0000000000
0.0550000000,89.8949497633,189.8949497633,10.1050502367,0.0000000000,0.0000000000
0.0600000000,89.0578030750,189.0578030750,10.9421969250,0.0000000000,0.0000000000
0.0650000000,88.2330423422,188.2330423422,11.7669576578,0.0000000000,0.0000000000
0.0700000000,87.4204172867,187.4204172867,12.5795827133,0.0000000000,0.0000000000
0.0750000000,86.6196842717,186.6196842717,13.3803157283,0.0000000000,0.0000000000
0.0800000000,85.8306060832,185.8306060832,14.1693939168,0.0000000000,0.0000000000
0.0850000000,85.0529517192,185.0529517192,14.9470482808,0.0000000000,0.0000000000
0.0900000000,84.2864961878,184.2864961878,15.7135038122,0.0000000000,0.0000000000
0.0950000000,83.5310203127,183.5310203127,16.4689796873,0.0000000000,0.0000000000
0.1000000000,82.7863105462,182.7863105462,17.2136894538,0.0000000000,0.0000000000
0.1050000000,82.0521587894,182.0521587894,17.9478412106,0.0000000000,0.0000000000
0.1100000000,81.3283622196,181.3283622196,18.6716377804,0.0000000000,0.0000000000
0.1150000000,80.6147231239,180.6147231239,19.3852768761,0.0000000000,0.0000000000
0.1200000000,79.9110487388,179.9110487388,20.0889512612,0.0000000000,0.0000000000
0.1250000000,79.2171510964,179.2171510964,20.7828489036,0.0000000000,0.0000000000
0.1300000000,78.5328468762,178.5328468762,21.4671531238,0.0000000000,0.0000000000
0.1350000000,77.8579572616,177.8579572616,22.1420427384,0.0000000000,0.0000000000
0.1400000000,77.1923078027,177.1923078027,22.8076921973,0.0000000000,0.0000000000
0.1450000000,76.5357282838,176.5357282838,23.4642717162,0.0000000000,0.0000000000
