truetime,L,R,B,D,C
0.00718828,100,199,0,149,1
0.011701307,100,198,0,148,2
0.0130491,100,197,0,147,3
0.035499711,99,196,1,147,3
0.047574779,98,195,2,147,3
0.053698937,97,194,3,147,3
0.054685247,97,193,3,146,4
0.134600189,97,192,3,145,5
0.13610779,97,191,3,144,6
0.136301107,97,190,3,143,7
0.136410737,97,189,3,142,8
0.144867256,97,188,3,141,9
0.151763587,97,187,3,140,10
0.163855393,96,186,4,140,10
0.170797499,96,185,4,139,11
0.174161737,95,184,5,139,11
0.217875883,95,183,5,138,12
0.226177995,95,182,5,137,13
0.233932068,95,181,5,136,14
0.239866886,94,180,6,136,14
0.270200066,94,179,6,135,15
0.272047695,94,178,6,134,16
0.282016281,94,177,6,133,17
0.296436243,94,176,6,132,18
0.301679379,94,175,6,131,19
0.308104561,94,174,6,130,20
0.32301066,94,173,6,129,21
0.323425449,93,172,7,129,21
0.343392574,93,171,7,128,22
0.39993982,93,172,7,129,21
0.418049408,93,171,7,128,22
0.419122937,93,170,7,127,23
0.423620801,93,169,7,126,24
0.447771918,92,168,8,126,24
0.461239258,92,167,8,125,25
0.461331251,92,166,8,124,26
0.47655116,92,167,8,125,25
0.478533839,91,166,9,125,25
0.481188024,91,165,9,124,26
0.554586046,91,164,9,123,27
0.556800451,91,163,9,122,28
0.567495184,91,162,9,121,29
0.571962374,91,161,9,120,30
0.572088924,90,160,10,120,30
0.586448818,89,159,11,120,30
0.622161313,89,158,11,119,31
0.627505446,89,157,11,118,32
0.653233655,89,156,11,117,33
0.681834081,90,157,10,117,33
0.685616767,90,156,10,116,34
0.795885988,89,155,11,116,34
0.805237898,89,154,11,115,35
0.814430481,89,153,11,114,36
0.821106782,88,152,12,114,36
0.964690581,89,153,11,114,36
0.966767087,89,152,11,113,37
0.968179019,89,151,11,112,38
0.970908769,90,152,10,112,38
0.971436111,90,151,10,111,39
0.987899483,90,150,10,110,40
0.988146976,91,151,9,110,40
1.004517768,91,150,9,109,41
1.011391619,91,149,9,108,42
1.021895655,91,150,9,109,41
1.023214549,90,149,10,109,41
1.029726474,90,150,10,110,40
1.048968342,90,149,10,109,41
1.056290972,90,148,10,108,42
1.090420002,90,147,10,107,43
1.098695033,90,146,10,106,44
1.110611073,89,145,11,106,44
1.114772927,89,144,11,105,45
1.132219913,89,143,11,104,46
1.165239202,88,142,12,104,46
1.187630918,88,143,12,105,45
1.19082056,87,142,13,105,45
1.193530625,87,141,13,104,46
1.195883491,87,140,13,103,47
1.208274155,87,139,13,102,48
1.217310067,88,140,12,102,48
1.230779258,88,139,12,101,49
1.241000109,88,138,12,100,50
1.284022594,88,137,12,99,51
1.313538815,88,136,12,98,52
1.326047755,88,135,12,97,53
1.346646251,88,134,12,96,54
1.357499986,88,133,12,95,55
1.382109684,88,134,12,96,54
1.383339276,88,135,12,97,53
1.406520342,88,136,12,98,52
1.41332955,88,135,12,97,53
1.421532789,88,134,12,96,54
1.479091287,88,133,12,95,55
1.483979614,88,132,12,94,56
1.523169074,88,131,12,93,57
1.52568475,87,130,13,93,57
1.538181865,86,129,14,93,57
1.555280538,85,128,15,93,57
1.573874571,85,127,15,92,58
1.633024188,85,126,15,91,59
1.664808854,85,125,15,90,60
1.670023403,85,124,15,89,61
1.674180074,85,123,15,88,62
1.67956107,86,124,14,88,62
1.729250279,86,123,14,87,63
1.750706293,85,122,15,87,63
1.764500751,85,121,15,86,64
1.825614318,84,120,16,86,64
1.838774363,84,121,16,87,63
1.847456923,84,120,16,86,64
1.847681985,84,121,16,87,63
1.862051366,85,122,15,87,63
1.869509269,85,121,15,86,64
1.885005823,85,120,15,85,65
1.885471344,85,121,15,86,64
1.893541576,85,120,15,85,65
1.899525099,85,119,15,84,66
1.962445865,84,118,16,84,66
1.984578181,84,119,16,85,65
2.011068497,83,118,17,85,65
2.023184568,83,117,17,84,66
2.029401993,83,118,17,85,65
2.035366457,82,117,18,85,65
2.035515697,81,116,19,85,65
2.055486992,81,115,19,84,66
2.07792964,81,114,19,83,67
2.079448872,80,113,20,83,67
2.090510332,80,112,20,82,68
2.101084283,80,111,20,81,69
2.13165133,80,110,20,80,70
2.133265833,80,111,20,81,69
2.150658899,80,112,20,82,68
2.160132647,80,111,20,81,69
2.169733034,79,110,21,81,69
2.248466067,79,111,21,82,68
2.251815112,79,112,21,83,67
2.311349627,79,111,21,82,68
2.368196341,79,110,21,81,69
2.372203332,79,111,21,82,68
2.422803263,79,110,21,81,69
2.43074089,79,109,21,80,70
2.508919916,78,108,22,80,70
2.527114494,78,107,22,79,71
2.527558199,79,108,21,79,71
2.598779973,79,107,21,78,72
2.611737804,78,106,22,78,72
2.688263171,79,107,21,78,72
2.702652317,79,106,21,77,73
2.718063525,79,105,21,76,74
2.744105811,78,104,22,76,74
2.744416819,78,103,22,75,75
2.812078714,78,104,22,76,74
2.846140239,78,103,22,75,75
2.875280979,77,102,23,75,75
2.882196147,77,101,23,74,76
2.966813769,77,100,23,73,77
2.984225468,77,99,23,72,78
3.134010672,77,98,23,71,79
3.144576977,77,99,23,72,78
3.204072551,77,100,23,73,77
3.215179408,77,99,23,72,78
3.233073001,77,98,23,71,79
3.247667005,76,97,24,71,79
3.252801509,75,96,25,71,79
3.358815671,76,97,24,71,79
3.405744694,77,98,23,71,79
3.576584377,78,99,22,71,79
3.59992962,77,98,23,71,79
3.601513475,77,97,23,70,80
3.610781751,77,96,23,69,81
3.682322211,78,97,22,69,81
3.852346335,78,96,22,68,82
4.041039386,79,97,21,68,82
4.04282979,79,96,21,67,83
4.132990896,79,97,21,68,82
4.156692443,80,98,20,68,82
4.197393106,79,97,21,68,82
4.222219517,79,98,21,69,81
4.250894187,79,99,21,70,80
4.252421058,78,98,22,70,80
4.262596007,78,97,22,69,81
4.287054156,77,96,23,69,81
4.314541501,76,95,24,69,81
4.360965064,76,94,24,68,82
4.366449627,77,95,23,68,82
4.375199013,76,94,24,68,82
4.380168364,76,95,24,69,81
4.458593512,76,94,24,68,82
4.498730361,77,95,23,68,82
4.504900255,78,96,22,68,82
4.518408369,77,95,23,68,82
4.587730595,78,96,22,68,82
4.603386668,78,95,22,67,83
4.604633907,77,94,23,67,83
4.615123761,78,95,22,67,83
4.644388583,79,96,21,67,83
4.681630115,78,95,22,67,83
4.692621355,78,94,22,66,84
4.818117026,79,95,21,66,84
4.845184753,79,94,21,65,85
4.85336517,78,93,22,65,85
4.903970513,79,94,21,65,85
4.917308153,79,95,21,66,84
4.982744434,79,94,21,65,85
5.002116,79,93,21,64,86
5.006829046,78,92,22,64,86
5.092520265,77,91,23,64,86
5.092677779,76,90,24,64,86
5.113243094,77,91,23,64,86
5.217481781,78,92,22,64,86
5.242331062,79,93,21,64,86
5.27214252,79,94,21,65,85
5.294317466,79,95,21,66,84
5.299445726,80,96,20,66,84
5.345375472,80,97,20,67,83
